id,summarization,tokens,topics,description
446949,,[],[],an open source flash runtime written in pure javascript
1021622,,[],[],asynchronous templates for the browser and node js
280943,,[],[],modern continuous testing flexible alternative to autotest
886709,,[],[],markup as coffeescript
982541,,[],[],holla rich javascript application
270226,,[],[],ci joe is a fun continuous integration server unmaintained
2264200,,[],[],deprecated implementation of the compatibility library viewpager class that supports paging both vertically and horizontally
179,,[],[],ruby on rails textmate bundle learn it with peepcode http and and peepcode com and products and textmate for rails 
606710,,[],[],deprecated a websocket server written in low level node should be   spec compatible
1809895,,[],[],motioncaptcha jquery plugin stop draw shapes
2473037,,[],[],course materials for stanford functional systems in haskell
2783860,,[],[],trigger jquery events for your responsive design breakpoints
1281555,,[],[],lazy load your javascript
2773938,,[],[],files we used to reverse engineer siri
1108478,,[],[],coffeedrop is an open roll your dropbox like clone written in coffeescript currently not working and under heavy development
974855,,[],[],refactoring tool for ruby in vim
722311,,[],[],multi node provides launching of multiple nodejs processes for tcp and http serving
631441,,[],[],touchscroll is a javascript and css  based scroller for devices using webkit mobile it is meant to mimic native scrolling feeling and behavior as much as possible
1549505,,[],[],classic dhtml javascript game engine and web based ide
786531,,[],[],haml like template engine for php   symfony
204419,,[],[],ernie is an erlang and ruby bert rpc server
228215,,[],[],redis client for node js abandoned
2454758,,[],[],a stand alone bloom filter implementation written in java
56855,,[],[],a tiny javascript framework for mobile web apps
367872,,[],[],objective c qr encoder
1085433,,[],[],server side readability with node js
143845,,[],[],test application for iphone with opencv library
660976,,[],[],lemonade is deprecated now start using compass sprites
982634,,[],[],a rack application for serving static sites
644997,,[],[],headless htmlunit powered browser for capybara
3006438,,[],[],osx packages uninstaller
1384958,,[],[],node cs net node js in c with all the beauty and performance that c brings
677999,,[],[],a lightweight mvc framework for building tidy javascript web apps
231633,,[],[],a time picker control for textfields built using jquery inspired by google calendar
1495487,,[],[],a really tiny functional javascript and async flow control library
2480979,,[],[],deprecated use font awesome or font awesome more
860439,,[],[],exploring event sourcing and ddd with ruby
825791,,[],[],a console based javascripty web client utility using node js
35299,,[],[],various ways to handle multi model forms in rails
476868,,[],[],kumofs is a scalable and highly available distributed key value store
810601,,[],[],an offline html currency converter app for the iphone
2651457,,[],[],a live chat built with python flask and gevent and apscheduler and redis
1177635,,[],[],osceleton is a proxy that sends skeleton information collected from the kinect sensor via making it easier to use input from the device in any language and framework that supports the osc protocol
1906047,,[],[],a nice little library for writing and implementing web application behavior in javascript that looks like english
1136384,,[],[],scrumdo agile story tracking website
922756,,[],[],http live for node js
114522,,[],[],culerity integrates cucumber and celerity in order to test your application s full stack including javascript your rails app doesn t have to run in jruby
1612472,,[],[],native node bindings to ios functionality etc
228068,,[],[],appcelerator titanium desktop
375132,,[],[],a standup meeting timer for android
3019546,,[],[],buddy memory allocation
46297,,[],[],a ruby library for the disqus commenting api and javascript widgets
1333096,,[],[],runloop a jquery plugin for comprehensive animations
760908,,[],[],a data driven visualization toolkit
179455,,[],[],a javascript animation library for html canvas
1023845,,[],[],s is a general partially fault pluggable platform that allows programmers to easily develop applications for processing continuous unbounded streams of data
751,,[],[],el dorado is a full stack community web application written in ruby and rails
2223890,,[],[],a jquery plugin that provides an abstraction over d and d transforms project owner jtaby
958161,,[],[],deprecated javascript game microframework
1733680,,[],[],a knife plugin facilitating and tracking chef cookbooks found on github
1835564,,[],[],convenient image processing framework for ios and android face more effects
1655409,,[],[],zero config reverse proxies let s get there
2400486,,[],[],google app engine app that retrieves the relevant favicon for a or returns a default icon should it not be able to find it
957422,,[],[],simulate core location in the iphone simulator
1729305,,[],[],syntactic sugar for javascript s settimeout and setinterval
1805416,,[],[],a simple implementation of sliding table ala twitter for iphone
916697,,[],[],high performance non blocking web framework
498050,,[],[],a javascript animation library using css transforms and transitions
620714,,[],[],asynchronous url based commonjs module loader for node with automated dependency resolution and module reloading
1444414,,[],[],twitter clone in node js
2345093,,[],[],linux kernel module for advanced rickrolling
1357872,,[],[],boilerplate setup for app engine with html boilerplate  user and more
1552202,,[],[],html form factor detection formfactorjs needs you to help write more detection specs
6700,,[],[],a mode for emacs that handles clojure
872827,,[],[],a full stack html and css framework that uses less js as it s core to provide a truly modular system with addons and other cute stuff d
1532304,,[],[],backbone data persistence through redis pub and sub and socket io
1986986,,[],[],a simple dsl to make using the lmax disruptor pattern simpler
1071112,,[],[],cocoa interface to socket io by way of websockets
2908502,,[],[],php mp png waveform generator
1687958,,[],[],custom uisplitviewcontroller for ipad
1328318,,[],[], grid on jquery mobile
305256,,[],[],swinger is a couchapp for creating and showing presentations think stored in run via javascript and sammy js
1647701,,[],[],a gherkin editor based on ace and node js
1339905,,[],[],minimal js html and json template engine
1658698,,[],[],a native mac shairport implementation
1891065,,[],[],sample echoprint song identifier for ios
656432,,[],[],node net node js implemented in javascript on the net runtime
761933,,[],[],visualization of an irc channel in a wargame theme
394786,,[],[],mongodb bindings for node js
581333,,[],[],a minimalist queueing dsl for beanstalk
815252,,[],[],a benchmarking tool for web socket servers
2207972,,[],[],flyjsonp is a small javascript that allows you to do cross domain get and post with json response
2087165,,[],[],d cube transition for uitabbarcontroller
564631,,[],[],the basic sinatra dsl inside of actioncontroller
2428797,,[],[],mac os x template based on ios boilerplate
1413148,,[],[],a lightweight framework that helps you write restful web services in nodejs
190349,,[],[],rack middleware to impose a rate limit on a web service aka api throttling
663860,,[],[],material for my railsconf  tutorial
834710,,[],[],gwt mobile is a cross platform mobile development tool using google web toolkit technology it provides a set of ui widgets optimized for mobile a orm module to persist objects to the browser and a wrapper to access phonegap functions from gwt
1067793,,[],[],a self hosted javascript compiler for the jvm written in coffeescript
1100540,,[],[],js tool to scan websites for unused css selectors
1805835,,[],[],a generic port of textmate s find in with associated macvim plugin
1115308,,[],[],facebook friend exporter chrome extension
1516322,,[],[],markdown and latex editable pages
803581,,[],[],not currently working or actively developed a jquery plugin for creating elements that stick to the top of the window when scrolling down the page
628418,,[],[],idiomatic pattern matching for clojure
1313405,,[],[],like websocket but no server setup and available in any browser
1470055,,[],[],natural language tools
315241,,[],[],a direct port of rake to javascript on top of the commonjs standard
692663,,[],[],free ebook about ruby  
690156,,[],[],a plugin to add a blog to a rails app that should exist but didn t until now
537093,,[],[],an eventmachine based s client
2437749,,[],[],a client side web framework in bytes
684274,,[],[],rails template to setup a rails  project with jquery support
717134,,[],[],node and socket io and mootools and twitter and space invaders space tweet a visualization of good vs evil
2906356,,[],[],plugins created for use on the flatterline com website
1712848,,[],[],a web chat implemented with rabbitmq and websockets
786994,,[],"['activity-feed', 'feed']",chronologic activity feeds as a service
1281093,,[],[],a ruby like language that compiles to php
906828,,[],[],python bindings for libgphoto
277499,,[],[],object modeling system for inspired by django
2106358,,[],[],css experiment a departure board effect in javascript and css
594622,,[],[],simple gem and release management with customizable rake tasks
2960740,,[],[],a custom storyboard segue that transitions with an opening doors animation publish
499683,,[],[],a simulated version of the iphone s for testing store uis on the iphone or even on device without having to set up iap in connect
320521,,[],[],mac os x objective c framework for git repositories
648869,,[],[],dormant an oauth implementation in ruby that makes implementing providers too easy
516908,,[],[],remodel a minimal orm object redis mapper in a few hundred lines of ruby
1557177,,[],[],customisable and lightweight framework for developing mobile apps
167717,,[],[],example rails  application that uses oauth
1262687,,[],[],a generic styled view class for rendering simple graphics on the desktop
1463402,,[],[],js to coffeescript compiler deprecated
958605,,[],[],extensions so you can use jammit with s and cloudfront for your rails app
1023036,,[],[],a small java message queue based on redis
1655196,,[],[],easily use any plain old ruby object as the model for rails form helpers
839954,,[],[],github repository now powered by github api and heroku
1804022,,[],[],android image gallery sample
1420466,,[],[],backbone js extension that connects backbone models with relational associations
959252,,[],[],a jquery plugin rendering a css styleable vertical scrollbar for overflowed elements
1617286,,[],[],code as data in without the metaprogramming madness
806586,,[],[],a thematic theme for wordpress using the goodness of html boilerplate loads of improvements soon
1819383,,[],[],mynu a simple dsl to create a systembar menu with macruby on osx
719653,,[],[],play sound files from node js to your simple as cake and kid approved
2600372,,[],[],easy custom defined templates for generation of json object representations in ruby
