id,summarization,tokens,topics,description
26500787,,[],"['font', 'ligatures', 'programming-ligatures']",monospaced font with programming ligatures
81975372,,[],"['algorithm', 'algorithm-challenges', 'algorithm-competitions', 'algorithms', 'coding-challenge', 'coding-challenges', 'coding-interview', 'coding-interviews', 'interview', 'interview-practice', 'interview-prep', 'interview-preparation', 'interview-questions', 'interviews', 'leetcode', 'leetcode-java', 'leetcode-questions', 'leetcode-solutions', 'technical-coding-interview']",everything you need to know to get the job
3065454,,[],[],it s a presentation framework based on the power of css transforms and transitions in modern browsers and inspired by the idea behind prezi com
29268051,,[],"['material', 'material-components', 'material-design', 'material-design-lite', 'mdl']",material design components in html and css and js
58836534,,[],"['algorithm', 'animation', 'data-structure', 'visualization']",fireworks interactive online platform that visualizes algorithms from code
75830968,,[],[],deep learning book chinese translation
63266213,,[],[],amazon web services a practical guide
70905478,,[],['deep-learning'],deep learning papers reading roadmap for anyone who are eager to learn this amazing tech
25315643,,[],"['babel', 'electron', 'email', 'flux', 'linux', 'macos', 'nylas-mail', 'productivity', 'react', 'windows']",an extensible desktop mail app built on the modern web forks welcome
137147386,,[],"['bash', 'bible', 'book', 'guide', 'handbook', 'how-to', 'learning', 'list', 'reference', 'script', 'shell-scripts']",a collection of pure bash alternatives to external processes
122692377,,[],"['hangzhou', 'knowledge']",    sharing the knowledge of buy an own house that according to the experience at hangzhou in  to all the people it s not easy to buy a own so i hope that it would be useful to everyone
11620669,,[],"['c-sharp', 'codehub', 'github', 'reactiveui']",codehub is an ios application written using xamarin
15585444,,[],"['css-effects', 'sass']",a collection of css powered hover effects to be applied to featured images and so on easily apply to your own modify or just use for inspiration available in and less
18280236,,[],[],modern documentation format and toolchain using git and markdown
23736449,,[],[],a lightweight javascript library for creating particles
995750,,[],[],the plug in manager for vim
28751632,,[],"['linux', 'linux-insides', 'linux-kernel']",a little bit about a linux kernel
72907253,,[],"['docker', 'docker-composer', 'fastdfs', 'mongodb', 'mybatis', 'rabbitmq', 'scheduler', 'spring', 'spring-boot', 'spring-boot-examples', 'spring-boot-mail', 'spring-boot-mongodb', 'spring-boot-upload-file', 'spring-cloud', 'spring-data-jpa', 'springboot', 'springboot-shiro', 'springcloud', 'thymeleaf']",about learning spring boot via examples spring boot   
60325062,,[],"['deep-learning', 'deep-neural-networks', 'machine-learning']",the most cited deep learning papers
