id,summarization,tokens,topics,description
3755875,,[],[],stand alone parallax scrolling library for mobile android and ios and desktop no jquery just plain javascript and some love
69798748,,[],"['bootstrap', 'eslint', 'flow', 'heroku', 'immutablejs', 'jest', 'jss', 'nodemon', 'pm2', 'react', 'react-router', 'redux', 'server-side-rendering', 'sinon', 'socket-io', 'stack', 'tutorial', 'webpack', 'yarn']",step by step tutorial to build a modern javascript stack
41717707,,[],[],torch implementation of neural style algorithm
93076012,,[],"['chrome', 'graphcool', 'headless', 'headless-chrome', 'integration-testing', 'nightmarejs', 'selenium', 'serverless']",chrome automation made simple runs locally or headless on aws lambda
781028,,[],[],node js debugger based on blink developer tools
1136075,,[],[],smooth scrolling for the web
78664391,,[],"['android', 'create-react-native-app', 'exponent', 'ios', 'react-native', 'react-native-app']",create a react native app on any os with no build config
1337658,,[],[],a fast lightweight polyfill for min and max width css media queries for ie  and more
50134307,,[],"['cheatsheet', 'es6-javascript']",es es cheatsheet containing best practices and code snippets
8257106,,[],"['ios', 'ios-ui', 'jsqmessagesviewcontroller', 'message', 'messaging', 'messenger', 'viewcontroller']",an elegant messages ui library for ios
16179237,,[],[],a virtual dom and diffing algorithm
15345331,,[],"['database', 'key-value']",an embedded key and value database for go
38003903,,[],[],get started with and react router
1290701,,[],[],waypoints is a library that makes it easy to execute a function whenever you scroll to an element
1211978,,[],[],filter sort magical layouts
14187079,,[],[],a simple and beautiful chart lib used in piner and coinsman for ios
26568234,,[],[],ultra pull to refresh for android support all the views
31052073,,[],[],performance focused pure css loading animations
43279131,,[],"['electron', 'photon']",the fastest way to build beautiful electron apps using simple html and css
21929029,,[],[],sex is zero  who wanna be the one  aha
4584417,,[],[],colour schemes for a variety of editors created by dayle rees
97646385,,[],"['multi-core', 'multithreading', 'napajs', 'nodejs', 'parallel', 'runtime']",napa js a multi threaded javascript runtime
10894716,,[],"['str8c', 'tox']",the future of online communications
23082332,,[],[],deprecated a drop in uiviewcontroller subclass with a growing text input view and other useful messaging features
38066334,,[],"['ai', 'artificial-intelligence', 'caffe2', 'deep-learning', 'deep-neural-networks', 'machine-learning', 'ml']",caffe is a and scalable deep learning framework
41673581,,[],[],new generation cms on top of redux and graphql
34533286,,[],"['android', 'kenburnsview', 'material', 'materialviewpager', 'parallax', 'scroll', 'toolbar', 'viewpager']",a material design viewpager easy to use library
9210604,,[],[],angularjs service to handle rest api restful resources properly and easily
728994,,[],"['api', 'dropzone', 'file-upload', 'files', 'fineuploader', 'javascript-library', 'standalone', 'vanilla-javascript', 'vanilla-js', 'web-development']",multiple file upload plugin with image drag and progress bars s and azure image form and tons of other features
658594,,[],[],unmaintained simple feed forward neural network in javascript
9060347,,[],[],traceur is a javascript next to javascript of today compiler
31524768,,[],[],an open ide for web and native mobile built on top of atom
45632603,,[],[],ruthlessly simple bindings to keep react router and redux in sync
1205958,,[],[],a module loader for the web
75890962,,[],[],vue and vue router and vuex 
36470590,,[],[],demos the new android design library
8530831,,[],[],jquery plugin to fire events when user s cursor aims at particular dropdown menu items for making responsive mega dropdowns like amazon s
28707589,,[],[],a curated list of delightful ios resources
4931659,,[],[],tools for keeping your cloud operating in top form chaos monkey is a resiliency tool that helps applications tolerate random instance failures
2762270,,[],[],super smooth css transformations and transitions for jquery
2328523,,[],"['headless-browsers', 'headless-testing', 'phantomjs', 'slimerjs']",casperjs is no longer actively maintained navigation scripting and testing utility for phantomjs and slimerjs
14046563,,[],"['android', 'android-animated-icons', 'android-bootstrap', 'android-library', 'android-ui', 'bootstrap-brands', 'glyph-icons', 'twitter-bootstrap-specification', 'widget']",bootstrap style widgets for with glyph icons
52210728,,[],"['back-end', 'book', 'ebook', 'free-book', 'freebook', 'frontend', 'full-stack', 'fullstack', 'github', 'github-books', 'growth', 'growth-hacking', 'phodal', 'repractise']",growth engineering the definitive guide 
13426154,,[],[],smoothly transitions numbers with ease hubspot open source
1762028,,[],[],the objective c block utilities you always wish you had
12719776,,[],"['database', 'eve', 'ide', 'language', 'programming-language']",better tools for thought
20167283,,[],"['chart', 'charting-library', 'library', 'timesheet', 'visualization']",javascript library for html css time sheets
7922549,,[],[],a component event driven javascript framework from twitter
23092866,,[],[],an ios framework to easily create a beautiful and engaging onboarding experience with only a few lines of code
22720859,,[],[],responsive transactional html email templates
36487753,,[],[],sui mobile msui uedui 
45655949,,[],"['alert', 'confirm', 'growl', 'input', 'notification', 'notifications', 'prompt', 'selection', 'toast']",a clean and simple and selection suite for with no dependencies
24650339,,[],[],the physical web walk up and use anything
53172292,,[],"['ios', 'react-native']", days of react native demos
18638428,,[],[],create beautiful css powered animations in no time
23948801,,[],"['android', 'android-libs']",android libs from github or other websites
64878964,,[],[],keras code and weights files for popular deep learning models
62535969,,[],"['cnn', 'computer-vision', 'deep-learning', 'machine-learning', 'opencv']",hide screen when boss is approaching
128821674,,[],[],code and data for paper deep painterly harmonization https and and arxiv org and abs and  
11726302,,[],[],a damn open source real time dashboard builder for iot and other web mashups a free open source alternative to geckoboard
15126429,,[],['aspnet-product'],archived asp net core mvc is a model view controller framework for building dynamic web sites with clean separation of including the merged web and web pages w and razor project moved to https and and github com and aspnet and aspnetcore
19340009,,[],"['android', 'numberprogressbar', 'prgressbar']",a slim android progressbar
38139390,,[],[],docker and minecraft dockercraft
5741345,,[],[],os x and ios application and framework to play with the apple push notification service apns
5417266,,[],[],archived highlight the best bits of your app to users and cool ly
54263833,,[],"['animation', 'boom', 'menu']",a menu which can boom android
9394642,,[],[],a vintage s dos inspired twitter bootstrap theme
2939440,,[],[],a jquery ui theme based on twitter bootstrap
44954997,,[],[],open machine intelligence framework for hackers gpu and cpu
35506729,,[],"['animation', 'design', 'motion', 'svg']",a and animation module for the modern web
20593099,,[],[],android circular progress button
5060433,,[],[],emmet for sublime text
70063086,,[],"['angular-2', 'apollo', 'apollo-ios', 'apollographql', 'exponent', 'graphcool', 'graphql', 'ios', 'react', 'react-native', 'tutorial']",learn apollo a hands on tutorial for apollo graphql client created by graphcool
14673229,,[],[],json schema based editor
64864962,,[],[],a super fast build tool for an alternative to instant run
3430409,,[],[],xcode plugin for vim keybindings
3748229,,[],[],rails for api only applications
4812336,,[],[],an enhanced guava based event bus with emphasis on android support
73915307,,[],[],exploits locked and password protected computers over drops persistent websocket based exposes internal and siphons cookies using raspberry pi zero node js
65851975,,[],[],not suitable for work nsfw classification using deep neural network caffe models
37382467,,[],"['awesome', 'awesome-list', 'developer', 'developer-tools', 'font', 'font-face', 'fonts', 'list', 'otf', 'otf-fonts', 'ttf', 'typeface', 'typefaces']",typefaces for source code beautification
2889116,,[],[],path   menu using coreanimation
13863797,,[],[],free ui kits built on bootstrap for any developer that wants to build a cool looking and functional website enjoy
26450553,,[],[],implementation of instagram with material design originally based on emmanuel pacamalan s concept
43209178,,[],[],css library for instagram filters
9421282,,[],"['cocoapods', 'ios', 'library', 'notifications', 'tsmessages']",easy to use and customizable messages and notifications for ios  la tweetbot
36205488,,[],[],a high copy wechat app 
26194471,,[],[],a proxy software to help circumventing the great firewall
25208398,,[],[],implementation of ripple effect from material design for android api  and
637935,,[],[],mock object library for phpunit
33134213,,[],"['android', 'android-library', 'wysiwyg-editor']",richeditor for android is a beautiful rich text wysiwyg editor for android
8318401,,[],[],run net and node js code in process on and linux
46977130,,[],"['android', 'cross-platform', 'hotfix', 'ios', 'plugin']",a small framework to split app into small parts
15057216,,[],[],an android staggered grid view which supports multiple columns with rows of varying sizes
21127643,,[],[],angularjs implementation of the rdash admin dashboard theme
12984746,,[],[],android library to build a ui card
6566487,,[],[],visual and css regression testing with phantomjs
44634390,,[],"['gps-tracker', 'location-services', 'motion-sensors', 'wifi-fingerprints']",high precision indoor positioning framework for most wifi enabled devices
36229979,,[],"['css-in-js', 'cssinjs']",react css in js techniques comparison
69674683,,[],"['deep-learning', 'keras', 'machine-learning', 'neural-networks', 'tensorflow', 'webgl']",run keras models in the with gpu support using webgl
31871464,,[],"['arbitrage', 'bitcoin', 'c-plus-plus', 'market-neutrality', 'trading-bot']",blackbird bitcoin arbitrage a long and short market neutral strategy
14812903,,[],[],an ios and macos audio visualization framework built upon core audio useful for anyone doing real low latency audio processing and visualizations
5992293,,[],"['cli', 'nomad', 'shenzhen', 'xcode']",cli for building distributing ios apps ipa files
35507603,,[],[],a machine learning package built for humans
869754,,[],[],google go language ide built using the intellij platform
69011367,,[],[],it s like curl with colours
7147058,,[],[],diy presentation micro framework
30825037,,[],[],uinavigationbar category which allows you to change its appearance dynamically
57201844,,[],[],a library that gives depth to views
456237,,[],[],a javascript sound api supporting mpeg and html audio and providing reliable cross browser and platform audio control in as little as  kb bsd licensed
3932983,,[],"['dpi', 'image', 'retina']",and stylus helpers for rendering high resolution image variants
17706097,,[],[],android library project for cropping images
3269452,,[],[],customizable sliding view controller container
27860738,,[],[],prototype of stream based programming language
21748166,,[],[],unobtrusive page transitions with jquery
36661850,,[],[],development and deployment made easy
22932849,,[],[],an easy way to animate svg elements
39571075,,[],"['android', 'android-library', 'blur', 'image-processing']",blurry is an easy blur library for android
14758329,,[],[],now deprecated a small android library allowing you to have a smooth and customizable horizontal indeterminate progressbar
6491715,,[],['ui-components'],css for clean and fast web apps
45703901,,[],[],a javascript polyfill for flexbox
33705347,,[],[],a flexible and beautiful ui framework for react js
9775802,,[],"['animation', 'dom-manipulation', 'filter', 'sort', 'vanilla-js']",a high dependency free library for animated removal and more
1066222,,[],[],easing the building of vagrant boxes
1121880,,[],[],the only script in your head
17996971,,[],[],augmented traffic control a tool to simulate network conditions
379530,,[],"['chart', 'jquery', 'jquery-plugin']",progressive svg bar and line charts
7764245,,[],[],growl style alerts and messages for your app hubspot open source
