id,summarization,tokens,topics,description
4839957,,[],[],an android library that allows you to easily create applications with slide in menus you may use it in your android apps provided that you cite this project and include the license in your app thanks
2155793,,[],[],paging indicator widgets compatible with the viewpager from the android support library and actionbarsherlock
9603714,,[],[],package manager for xcode
26363421,,[],"['android', 'android-library', 'android-ui', 'material-design']",android library to observe scroll events on scrollable views
85786010,,[],[],code and data for paper deep photo style transfer https and and arxiv org and abs and  
268027,,[],[],no longer superseded by js cookie
11446311,,[],[],xcode plug in which helps you write documentation comment for both objective c and swift
53991171,,[],"['android', 'bottom-navigation', 'library', 'material-design']",deprecated a custom view component that mimics the new material design bottom navigation pattern
33390523,,[],"['android', 'android-library', 'android-studio', 'android-tools', 'animations', 'apps', 'awesome', 'google-android', 'material-design', 'open-source-project']",some android learning hoping to help you learn android development
12283195,,[],[],ios library for quickly displaying images while scrolling
34676773,,[],[],disque is a distributed message broker
10740728,,[],[],ios  and  style side menu with parallax effect
1676966,,[],[],swipe is the most accurate touch slider
45091124,,[],[],horizon is a open source backend for javascript apps
1706871,,[],[],a jquery plugin for inflating web type
42489883,,[],"['android', 'hotfix']",andfix is a library that offer hot fix for android app
4012085,,[],"['adobe-flash', 'adobe-flex', 'apache-flex', 'clipboard', 'dom', 'flash', 'frontend', 'web', 'zeroclipboard']",the zeroclipboard library provides an easy way to copy text to the clipboard using an invisible adobe flash movie and a javascript interface
14454268,,[],[],a jquery plugin for extracting the dominant color from images and applying the color to their parent
13200787,,[],[],a simple keyframe based animation framework for uikit perfect for scrolling app intros
50301368,,[],[],rabbit tophat see what a program does before deciding whether you really want it to happen no longer maintained
18607529,,[],[],this repo is being deprecated please check out http and and github com and famous and engine
69828680,,[],[],leaked mirai source code for research and ioc development purposes
21490963,,[],[],sample project created to show some of the best android practices to work in the android ui layer the ui layer of this project has been implemented using mvp or mvvm without binding engine to show how this patterns works this project is used during the talk effectiveandroidui
39103837,,[],[],docker implemented in around  lines of bash
14393731,,[],[],a sample android app which showcases advanced usage of dagger among other open source libraries
46527265,,[],"['artificial-intelligence', 'deep-learning', 'ios', 'machine-learning', 'macos', 'ocr']",the swift machine learning library
33581487,,[],"['image', 'lazy', 'load']",a modern lazy loading library for images
20232642,,[],"['animation', 'pop', 'transition-animation']",a collection of animation examples for ios apps
26103342,,[],[],the missing spotlight plugin system
24478678,,[],"['animation', 'dom', 'effects', 'fx', 'transitions']",morph dom elements from one state to another with smooth animations and transitions
18981255,,[],[],sublime like terminal based text editor
7694208,,[],[],deprecated recyclerview made simple
904419,,[],[],a easy to use javascript span injector for radical web typography
58605580,,[],[],boom puts your console on blast when react is making unnecessary updates
10697582,,[],"['jscs', 'unmaintained']",javascript code style checker unmaintained
66682814,,[],[],image super resolution through deep learning
4047080,,[],[],a running jumping swordfighting game i made on the apple ii from  
10575878,,[],[],a web interface for formerly known as dockerui this repo is not maintained
4710876,,[],[],android common include utils and so on
33456123,,[],[],intelligent ios permissions ui and unified api
46531155,,[],[],efficient image captioning code in runs on gpu
2310615,,[],[],a easy to use jquery plugin for fluid width video embeds
2893217,,[],[],a workflow for building backbone applications
40877175,,[],[],google material designandroid     mvp      
40102186,,[],[],android adapter for item
36187165,,[],['palette'],extract prominent colors from an image js port of android s palette
5263633,,[],"['macros', 'parser']",sweeten your javascript
19094829,,[],[],an im app like wechat app has to send location managing local address share a circle of drifting shake a fun and more interesting features
4028308,,[],[],css list scroll effects
7830512,,[],[],xcode plug in that provides autocomplete for imagenamed calls
38284404,,[],[],dexposed enable god mode for single android application
2851354,,[],[],a methodology for documenting css and generating styleguides
10420996,,[],[],the wp rest api has been merged into wordpress core please do not create issues or send pull requests submit support requests to the forums or patches to trac see readme below for links
66913302,,[],"['cli', 'curl', 'http', 'visualization']",curl statistics made simple
47903333,,[],"['angular', 'ngrx', 'redux', 'rxjs']",rxjs powered state management for angular inspired by redux
61687257,,[],[],step by step just use horizontalstepview verticalstepview step indicator flow indicator timeline order process express status
64815511,,[],[],dataset and code for  paper learning a driving simulator
5391743,,[],[],google guice on version   retired
56371551,,[],[],some beautiful android loading can be combined with any view as the loadingview or the progressbar some drawable can customize the loading progress too
3616639,,[],[],kineticjs is an html canvas javascript framework that extends the d context by enabling canvas interactivity for desktop and mobile applications
24162262,,[],[],front end performance heatmap bookmarklet
6859626,,[],"['ios', 'stylesheet', 'stylesheets', 'ui', 'ui-kit']",style ios apps with a similar to css
33951348,,[],[],some basic javascript coding challenges and interview questions
931243,,[],[],produces respawning super cookies in a abusing over a dozen techniques its goal is to identify users after they ve removed standard cookies and other privacy data such as flash cookies lsos html silverlight and others
7293210,,[],[],deprecated a general purpose library for building credit card validating inputs and formatting numbers
20652074,,[],[],android xcl charts is a free charting library for android platform d and d and  and  and  bar chart d and d pie chart  stacked bar chart  area chart  line chart  spline chart  dount chart  rose chart  dial chart  gauge chart  radar chart  funnel chart  circle chart   scatter chart  bubble chart  rangebar chart        
87638072,,[],"['equationgroup', 'exploits', 'hacking', 'nsa', 'shadowbrokers', 'tao']",decrypted content of eqgrp auction file tar xz
5969840,,[],[],classic version of turbolinks now deprecated in favor of turbolinks 
32958241,,[],"['android', 'hacker-news']",hacker news ios and android app made with react native
22652910,,[],[],a complete and versatile web scraper
2346623,,[],['hubot-script'],see https and and github com and github and hubot scripts and issues and  for details optional scripts for opt in via hubot scripts json
20286858,,[],[],android common utils or helper such as etc   k bitmap   shell         base md hex byte number dialog filed class package telephone random
14335772,,[],[],drag and drop library for two resizable and responsive lists
55874746,,[],"['ebook', 'github-books', 'growth', 'idea', 'ideabook', 'phodal']", a growth engineering idea in action
7224705,,[],[],beautiful responsive email templates with code as beautiful as email templates can be
1574656,,[],[],node js auth package more for connect and express apps
42997176,,[],[],explosive dust effect for views
4617120,,[],"['anchors', 'animated', 'animation', 'browser', 'demo', 'flesler', 'jquery', 'links', 'scroll', 'scrollto']",cross browser and highly customizable animated scrolling with jquery
36537989,,[],[],realtime cli for live node apps
8062859,,[],[],working copy of the http and  specification
44620036,,[],"['definition', 'management', 'types', 'typings']",deprecated the typescript definition manager
3077195,,[],[],the quickest way to start and publish your jekyll powered blog  compatible with github pages
220418,,[],[],thinkup gives you insights into your social networking activity on and beyond
40691886,,[],[],hackpad is a web based realtime wiki
13715172,,[],[],a xcode  and plugin that adds more flexible autocompletion rather than just prefix matching
31715632,,[],"['animation', 'carthage', 'cocoapods', 'custom', 'drag', 'ios', 'menu', 'navigator', 'persei', 'uicollectionview', 'uiscrollview', 'uitableview']",animated top menu for uitableview and uicollectionview and uiscrollview written in swift
6257984,,[],[],afinalandroidioc orm  finalactivity ui finalbitmap bitmap oom finaldb androidsqlite finalhttp ajaxhttp 
42849407,,[],[],deprecated  https and and github com and finalteam and rxgalleryfinal
4068818,,[],"['databinding', 'template-engine']",lightweight and powerful data binding
2160835,,[],"['unmaintained', 'unmaintained-dont-use']",take a swig of the best template engine for javascript
38657802,,[],[],a terminal to gif recorder minus the headaches
778981,,[],[],legacy code of vex running on google app engine
40704350,,[],"['vue-cnodejs', 'vue-components', 'vue-router', 'vue2', 'vuejs2', 'webpack']",vue jscnodejs orgwebapp
7119300,,[],"['grid', 'sass', 'stylus']",the most yet grid system available for sass or stylus
