id,summarization,tokens,topics,description
3497763,,[],[],graphene is a realtime dashboard graphing toolkit based on d and backbone
5639802,,[],[],deprecated a slide out menu which allows users to navigate between views in your app
1234896,,[],[],deprecated this project aims to provide a reusable pull to refresh widget for android
3710342,,[],[],deprecated prior to recent developments with the picture foresight js gaves webpages the ability to tell if the user s device is capable of viewing high resolution images before the image is requested from the server it judges if the user s device currently has a fast enough network connection for high resolution images depending on device display and network foresight js will request the appropriate image for the webpage
25870036,,[],[],cookbook for javascript for automation in mac os x yosemite
14127490,,[],[],realtime server metrics in your browser
11830909,,[],[],understanding what your bits do when you re not looking
161859,,[],"['app', 'github', 'ioctocat', 'ios', 'ipad', 'iphone']",ioctocat v github for ios works on the and ipod touch
7116973,,[],[],one way to implement authentication and authorization in angular applications
24094708,,[],[],keen dreams on greenlight
14522206,,[],[],cengalabs android flatui kit
7139407,,[],[],a modified version of android s experimental staggeredgridview includes own onitemclicklistener and and fixed position restore
3295176,,[],[],generate recommendations using collaborative filtering
8941531,,[],[],proof of concept android webview implementation based on chromium code
16093309,,[],[],a simple graph drawing and data plotting app for os x and ipad
5465143,,[],[],imagepickercontroller with live radial blur and more brought to you by backspaces
1258546,,[],[],uilabel that supports nsattributedstring
12173316,,[],[],deprecated in favor of which includes os x support
12310747,,[],[],official content for harvard cs
13230264,,[],[],link and news sharing
3510440,,[],[],c and and qt bindings for node js
11221326,,[],[],apple tv for torrent streaming in js node and chrome
12384054,,[],[],linux exploit suggester based on operating system release number
16674241,,[],[],a tiny foundation for building reactive views
19466626,,[],[],an open source event analytics platform
21266028,,[],[],demo for the material witness talk i gave at google i and o
6584052,,[],[],remote preview allows you to preview any url on large number of mobile devices simultaneously
785859,,[],[],automated acceptance tests for native ios apps
2554914,,[],[],demo a carefully implemented ios objective c library to mimic the sidebar layout of the new facebook app and path   app
192868,,[],[],a read eval print loop for php
5115347,,[],[],a library for intentionally dealing with responsive design
9380522,,[],[],dark ui theme for eclipse  and
9145730,,[],[],vim customized to be like sublimetext
20093507,,[],[],web service to generate your personal phimpme app
7977879,,[],[],start your web projects fast with sassaparilla
